MUNICIPALITY,BIOME,STATE,COUNTRY,SOY_EQUIVALENT_TONS
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Netherlands,0.390631329313349
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Germany,6.5808116495505
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Portugal,15.6025514601594
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Spain,7.72635422828696
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Netherlands,2.20412433690972
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Italy,0.0650106310839977
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Spain,0.0325053155419988
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Germany,9.74580741622055
Canabrava Do Norte,AMAZONIA,MATO GROSSO,France,5.85095679755979
Canabrava Do Norte,AMAZONIA,MATO GROSSO,France,0.975159466259965
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Spain,1.62526577709994
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Italy,0.247040398119191
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Netherlands,0.325053155419988
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Spain,19.2951553057305
Canabrava Do Norte,AMAZONIA,MATO GROSSO,France,0.885974632007383
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Netherlands,1.29562222101911
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Netherlands,1.72278172372594
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Netherlands,1.04017009734396
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Netherlands,0.494080796238382
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Germany,14.6022288698683
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Netherlands,1.01300147590297
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Germany,1.96745551850465
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Germany,18.2285832028227
Canabrava Do Norte,AMAZONIA,MATO GROSSO,Netherlands,19.113300704321
Canarana,AMAZONIA,MATO GROSSO,Germany,8398.81561378122
Canarana,AMAZONIA,MATO GROSSO,Netherlands,1344.05039626684
Canarana,AMAZONIA,MATO GROSSO,Portugal,10417.0625962661
Canarana,AMAZONIA,MATO GROSSO,Spain,4526.86253840642
Canarana,AMAZONIA,MATO GROSSO,Spain,261.970356125698
Canarana,AMAZONIA,MATO GROSSO,Italy,112.004199688903
Canarana,AMAZONIA,MATO GROSSO,Netherlands,73.1760771300833
Canarana,AMAZONIA,MATO GROSSO,Spain,373.347332296343
Canarana,AMAZONIA,MATO GROSSO,Netherlands,746.694664592687
Canarana,AMAZONIA,MATO GROSSO,Netherlands,8736.32757573443
Canarana,AMAZONIA,MATO GROSSO,Spain,3584.1343900449
Canarana,AMAZONIA,MATO GROSSO,Netherlands,1861.96154910165
Canarana,AMAZONIA,MATO GROSSO,Netherlands,2891.77445611062
Canarana,AMAZONIA,MATO GROSSO,Netherlands,2613.4313260744
Canarana,AMAZONIA,MATO GROSSO,Netherlands,8298.40011528679
Carlinda,AMAZONIA,MATO GROSSO,Portugal,493.098547372751
Carlinda,AMAZONIA,MATO GROSSO,Spain,484.404197923762
Carlinda,AMAZONIA,MATO GROSSO,Netherlands,107.5851376086
Carlinda,AMAZONIA,MATO GROSSO,Portugal,1323.4818983362
Carlinda,AMAZONIA,MATO GROSSO,Spain,1532.83018590085
Claudia,AMAZONIA,MATO GROSSO,France,624.940909910289
Claudia,AMAZONIA,MATO GROSSO,Germany,2242.28021627305
Claudia,AMAZONIA,MATO GROSSO,Portugal,5999.93330100274
Claudia,AMAZONIA,MATO GROSSO,Spain,7669.87159407096
Claudia,AMAZONIA,MATO GROSSO,Netherlands,257.139998614403
Claudia,AMAZONIA,MATO GROSSO,Portugal,4667.09097485142
Claudia,AMAZONIA,MATO GROSSO,Spain,9273.41305381917
Claudia,AMAZONIA,MATO GROSSO,France,2177.78507609836
Claudia,AMAZONIA,MATO GROSSO,Netherlands,3621.38831381951
Claudia,AMAZONIA,MATO GROSSO,Spain,1797.96386985613
Claudia,AMAZONIA,MATO GROSSO,Netherlands,253.33732660156
Claudia,AMAZONIA,MATO GROSSO,Italy,14.285555478578
Claudia,AMAZONIA,MATO GROSSO,Netherlands,12.862428441802
Claudia,AMAZONIA,MATO GROSSO,Spain,299.996665050137
Claudia,AMAZONIA,MATO GROSSO,Netherlands,14.285555478578
Claudia,AMAZONIA,MATO GROSSO,Netherlands,27.2289830199435
Claudia,AMAZONIA,MATO GROSSO,Portugal,210.182989372165
Claudia,AMAZONIA,MATO GROSSO,Spain,182.94576581187
Claudia,AMAZONIA,MATO GROSSO,Netherlands,222.671873449107
Claudia,AMAZONIA,MATO GROSSO,Portugal,889.170551424863
Claudia,AMAZONIA,MATO GROSSO,Spain,1761.77119024583
Claudia,AMAZONIA,MATO GROSSO,Netherlands,46.4130221273945
Claudia,AMAZONIA,MATO GROSSO,Germany,19.9457893443911
Claudia,AMAZONIA,MATO GROSSO,Netherlands,27.3022995600983
Claudia,AMAZONIA,MATO GROSSO,France,20.1185990923316
Claudia,AMAZONIA,MATO GROSSO,Netherlands,11.7195722867951
Claudia,AMAZONIA,MATO GROSSO,Spain,1.36728343345943
Claudia,AMAZONIA,MATO GROSSO,Netherlands,29.1075110363034
Claudia,AMAZONIA,MATO GROSSO,Italy,73.833305406809
Claudia,AMAZONIA,MATO GROSSO,Netherlands,10.8699423612434
Claudia,AMAZONIA,MATO GROSSO,Spain,251.189499346975
Claudia,AMAZONIA,MATO GROSSO,Netherlands,1855.60692205632
Claudia,AMAZONIA,MATO GROSSO,Netherlands,41.9951340276824
Claudia,AMAZONIA,MATO GROSSO,Netherlands,29.1496828530293
Claudia,AMAZONIA,MATO GROSSO,Netherlands,72.4835036686773
Claudia,AMAZONIA,MATO GROSSO,Netherlands,156.978396974091
Claudia,AMAZONIA,MATO GROSSO,Netherlands,528.357383929678
Claudia,AMAZONIA,MATO GROSSO,Netherlands,9.2011338654652
Colider,AMAZONIA,MATO GROSSO,Portugal,772.753494951182
Colider,AMAZONIA,MATO GROSSO,Spain,759.128249127949
Colider,AMAZONIA,MATO GROSSO,Netherlands,168.600762534803
Colider,AMAZONIA,MATO GROSSO,Portugal,2074.07883858723
Colider,AMAZONIA,MATO GROSSO,Spain,2402.15650529214
Confresa,AMAZONIA,MATO GROSSO,France,249.263326966917
Confresa,AMAZONIA,MATO GROSSO,Netherlands,7004.1091196781
Cotriguacu,AMAZONIA,MATO GROSSO,Portugal,0.996152004703566
Cotriguacu,AMAZONIA,MATO GROSSO,Spain,0.978587780109214
Cotriguacu,AMAZONIA,MATO GROSSO,Netherlands,0.217342255571687
Cotriguacu,AMAZONIA,MATO GROSSO,Portugal,2.67368288396086
Cotriguacu,AMAZONIA,MATO GROSSO,Spain,3.09660588272027
Denise,AMAZONIA,MATO GROSSO,Netherlands,35.3524010534592
Denise,AMAZONIA,MATO GROSSO,France,1.79330346676011
Denise,AMAZONIA,MATO GROSSO,Netherlands,8.93088505640015
Denise,AMAZONIA,MATO GROSSO,Netherlands,5.26827994123655
Denise,AMAZONIA,MATO GROSSO,France,8.13563670767908
Denise,AMAZONIA,MATO GROSSO,France,4.68383137529102
Denise,AMAZONIA,MATO GROSSO,Netherlands,20.4351851158665
Denise,AMAZONIA,MATO GROSSO,Netherlands,0.773413773031569
Denise,AMAZONIA,MATO GROSSO,France,34.3624888775734
Denise,AMAZONIA,MATO GROSSO,Netherlands,0.222663615502152
Denise,AMAZONIA,MATO GROSSO,Denmark,78.6383259079219
Denise,AMAZONIA,MATO GROSSO,Germany,35.696492841081
Denise,AMAZONIA,MATO GROSSO,Italy,98.3803532931072
Denise,AMAZONIA,MATO GROSSO,Netherlands,417.175108880433
Denise,AMAZONIA,MATO GROSSO,Netherlands,3.68715597140102
Denise,AMAZONIA,MATO GROSSO,Netherlands,0.425183866147053
Denise,AMAZONIA,MATO GROSSO,Italy,64.520366812148
Denise,AMAZONIA,MATO GROSSO,Netherlands,93.9709224952269
Denise,AMAZONIA,MATO GROSSO,France,87.0662003243709
Denise,AMAZONIA,MATO GROSSO,Italy,70.479637050299
Denise,AMAZONIA,MATO GROSSO,Netherlands,0.351527777765724
Denise,AMAZONIA,MATO GROSSO,Poland,57.6909176891909
Denise,AMAZONIA,MATO GROSSO,Netherlands,14.2412655584849
Denise,AMAZONIA,MATO GROSSO,Spain,14.1813691207731
Denise,AMAZONIA,MATO GROSSO,Netherlands,9.56761451820072
Diamantino,AMAZONIA,MATO GROSSO,Spain,107.219968972183
Diamantino,AMAZONIA,MATO GROSSO,Portugal,4400.05460773479
Diamantino,AMAZONIA,MATO GROSSO,Spain,32260.6452280855
Diamantino,AMAZONIA,MATO GROSSO,Netherlands,479.325097693663
Diamantino,AMAZONIA,MATO GROSSO,Netherlands,936.181831432935
Diamantino,AMAZONIA,MATO GROSSO,Italy,3183.01822687198
Diamantino,AMAZONIA,MATO GROSSO,Netherlands,380.408125384459
Diamantino,AMAZONIA,MATO GROSSO,Spain,8144.78193346653
Diamantino,AMAZONIA,MATO GROSSO,Netherlands,2621.30912801222
Diamantino,AMAZONIA,MATO GROSSO,Germany,4800.47442140494
Diamantino,AMAZONIA,MATO GROSSO,Germany,2390.56886828699
Diamantino,AMAZONIA,MATO GROSSO,Germany,16342.1755194457
Diamantino,AMAZONIA,MATO GROSSO,Netherlands,12190.1616487185
Feliz Natal,AMAZONIA,MATO GROSSO,Portugal,1092.33550232197
Feliz Natal,AMAZONIA,MATO GROSSO,Spain,950.781771601595
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,1157.24109483626
Feliz Natal,AMAZONIA,MATO GROSSO,Portugal,4621.08072514267
Feliz Natal,AMAZONIA,MATO GROSSO,Spain,9156.04647084924
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,241.211679362108
Feliz Natal,AMAZONIA,MATO GROSSO,Germany,103.659643855075
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,141.891935182811
Feliz Natal,AMAZONIA,MATO GROSSO,France,104.557748042224
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,60.9074260440138
Feliz Natal,AMAZONIA,MATO GROSSO,Spain,7.10586637180162
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,151.273743817982
Feliz Natal,AMAZONIA,MATO GROSSO,Italy,383.716784077287
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,56.4918406805763
Feliz Natal,AMAZONIA,MATO GROSSO,Spain,1305.4491648767
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,9643.71724548768
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,218.251609991049
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,151.49291366015
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,376.701771282668
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,815.827563517845
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,2745.90979081762
Feliz Natal,AMAZONIA,MATO GROSSO,Netherlands,47.818927749039
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Portugal,839.993100864259
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Spain,1065.46974895143
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Netherlands,146.370714300673
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Spain,1557.50770768411
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Spain,326.753416268228
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Germany,2394.52054914426
Gaucha Do Norte,AMAZONIA,MATO GROSSO,France,0.858488173266428
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Germany,1096.69655391733
Gaucha Do Norte,AMAZONIA,MATO GROSSO,France,1789.46799475365
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Netherlands,4645.66819757628
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Spain,375.322942314024
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Germany,5428.55799112206
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Netherlands,351.597112218897
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Italy,200.998349135376
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Netherlands,127.305454399019
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Spain,1605.29401519967
Gaucha Do Norte,AMAZONIA,MATO GROSSO,France,604.425458346817
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Italy,2759.98595301355
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Italy,37.3193934837189
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Spain,692.058315900622
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Netherlands,779.993593659669
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Netherlands,193.996106647065
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Netherlands,647.847379019384
Gaucha Do Norte,AMAZONIA,MATO GROSSO,Netherlands,269.997782420655
Guaranta Do Norte,AMAZONIA,MATO GROSSO,Portugal,1006.12030878928
Guaranta Do Norte,AMAZONIA,MATO GROSSO,Spain,988.380322332325
Guaranta Do Norte,AMAZONIA,MATO GROSSO,Netherlands,219.517158281298
Guaranta Do Norte,AMAZONIA,MATO GROSSO,Portugal,2700.43792123455
Guaranta Do Norte,AMAZONIA,MATO GROSSO,Spain,3127.59303019056
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,France,586.194487945919
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,Germany,2103.25853591203
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,Portugal,5627.9366149927
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,Spain,7194.3385052881
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,Netherlands,241.197283499687
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,Portugal,4377.73069551932
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,Spain,8698.4601750186
